DATAFLOW,LAST UPDATE,freq,unit,med_spec,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,AT,2011,13403.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,AT,2012,13657.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,AT,2013,13924.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,AT,2014,14130.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,AT,2015,14275.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,AT,2016,13834,b
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,AT,2017,13745.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,AT,2019,13581.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,AT,2020,13280.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,BE,2011,12290.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,BE,2012,12363.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,BE,2013,12483.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,BE,2014,12560.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,BE,2015,12693.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,BE,2016,12929.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,BE,2017,12992.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,BE,2018,13178.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,BE,2019,13425.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,BE,2020,13697.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,BG,2011,4905.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,BG,2012,4789.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,BG,2013,4743.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,BG,2014,4703.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,BG,2015,4512.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,BG,2016,4610.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,BG,2017,4396.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,BG,2018,4322.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,BG,2019,4255.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,BG,2020,4174.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,CH,2011,8356,b
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,CH,2012,8618.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,CH,2013,8986.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,CH,2014,9225.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,CH,2015,9570.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,CH,2016,9601.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,CH,2017,9628.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,CH,2018,9683.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,CH,2019,9724.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,CH,2020,9848.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,CY,2014,680.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,CY,2015,735.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,CY,2016,786.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,CY,2017,833.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,CY,2018,912.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,CY,2019,842.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,CZ,2011,7369.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,CZ,2012,7386.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,CZ,2013,7371.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,CZ,2019,7330,be
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,CZ,2020,7112,e
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DE,2011,75252.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DE,2012,75390.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DE,2013,78608.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DE,2014,80210.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DE,2015,78201.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DE,2016,79034.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DE,2017,80184.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DE,2018,81116.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DE,2019,83049.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DE,2020,85471.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DK,2011,4422.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DK,2012,4481.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DK,2013,4459.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DK,2014,4499.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DK,2015,4575.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DK,2016,4585.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DK,2017,4617.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DK,2018,4649.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,DK,2019,4641.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,EE,2011,1001.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,EE,2012,959.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,EE,2013,1052,b
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,EE,2014,1057.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,EE,2015,1052.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,EE,2016,1061.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,EE,2017,1059.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,EE,2018,1097.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,EE,2019,1102.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,EE,2020,1084.00,
ESTAT:HLTH_RS_SPEC(1.0),12/07/22 11:00:00,A,NR,GEN,EL,2011,3369.00,
